filename,color_palette
desde-la-hamaca_4516566358_o.jpg,"[(230, 231, 211), (59, 53, 51), (141, 123, 91), (164, 166, 140), (148, 148, 156)]"
flag_690568486_o.jpg,"[(200, 191, 236), (28, 28, 60), (125, 43, 70), (150, 108, 168), (164, 92, 96)]"
3163994438_f16facc360_o.jpg,"[(53, 6, 5), (206, 66, 36), (130, 15, 9), (149, 141, 30), (142, 104, 60)]"
3496179694_b7e31cb27d_b_3903121904_o.jpg,"[(223, 222, 219), (18, 15, 16), (105, 100, 92), (107, 161, 203), (83, 126, 166)]"
fotografo-ambulante-en-la-habana_3216500793_o.jpg,"[(198, 191, 173), (32, 26, 26), (114, 68, 56), (163, 137, 66), (116, 122, 119)]"
conejo-de-arte-en-el-mam_4361850411_o.jpg,"[(60, 42, 29), (192, 183, 119), (143, 119, 68), (163, 156, 90), (156, 132, 124)]"
tacubaya_5355173617_o.jpg,"[(68, 71, 40), (203, 213, 176), (164, 178, 128), (145, 147, 66), (138, 152, 159)]"
flower-and-photographers_822512592_o.jpg,"[(44, 47, 77), (210, 223, 236), (172, 197, 225), (149, 125, 128), (118, 142, 192)]"
pathe-baby_2756038804_o.jpg,"[(207, 167, 149), (16, 13, 10), (87, 53, 35), (105, 114, 111), (119, 82, 57)]"
zona-arqueologica-en-tlatelolco_4718902621_o.jpg,"[(188, 190, 181), (42, 42, 37), (126, 135, 77), (87, 80, 75), (113, 107, 103)]"
carteles-de-cine-cubano_2755207983_o.jpg,"[(60, 54, 58), (228, 218, 206), (178, 184, 180), (150, 134, 117), (138, 153, 180)]"
coleccin-jumex_4345519238_o.jpg,"[(166, 175, 143), (222, 246, 229), (58, 55, 47), (109, 106, 74), (92, 100, 89)]"
0570_3430754948_o.jpg,"[(39, 40, 45), (182, 168, 147), (119, 107, 93), (141, 160, 140), (133, 137, 162)]"
metro_5336196584_o.jpg,"[(56, 64, 33), (195, 208, 179), (119, 139, 83), (152, 174, 126), (134, 154, 153)]"
descansando-en-el-metro-tacubaya_4967054355_o.jpg,"[(165, 127, 71), (61, 29, 43), (250, 228, 108), (220, 213, 157), (83, 69, 78)]"
expo-en-el-muac_4137597226_o.jpg,"[(229, 232, 230), (45, 45, 49), (204, 177, 75), (152, 160, 157), (133, 98, 64)]"
3216502559_363a597cca_o.jpg,"[(192, 202, 198), (30, 29, 23), (95, 81, 70), (131, 132, 78), (114, 117, 121)]"
dscf8228_2905694193_o.jpg,"[(24, 15, 11), (215, 175, 151), (105, 58, 40), (128, 140, 135), (130, 120, 146)]"
metro-chabacano_4967054431_o.jpg,"[(10, 12, 8), (159, 162, 135), (94, 97, 76), (123, 132, 111), (112, 118, 134)]"
dryden_1382183315_o.jpg,"[(23, 19, 11), (180, 177, 123), (114, 100, 48), (138, 142, 89), (116, 132, 132)]"
canon-demi-test_2640114032_o.jpg,"[(203, 211, 201), (54, 58, 81), (102, 49, 75), (123, 141, 158), (145, 132, 92)]"
trozo-de-alberca_5426114847_o.jpg,"[(159, 150, 137), (40, 32, 24), (206, 215, 220), (86, 66, 49), (101, 81, 55)]"
ishmaels-lost-gaze_2047811452_o.jpg,"[(68, 66, 66), (214, 226, 213), (118, 133, 159), (134, 154, 194), (154, 192, 163)]"
cupula-de-ex-teresa_6221598203_o.jpg,"[(100, 94, 74), (207, 205, 180), (22, 22, 21), (169, 174, 149), (136, 150, 173)]"
ciudad-universitaria-2_2639288543_o.jpg,"[(189, 185, 184), (34, 49, 47), (167, 138, 63), (119, 122, 119), (98, 78, 60)]"
plaza-de-las-tres-culturas_4719552736_o.jpg,"[(183, 174, 160), (32, 33, 26), (96, 93, 82), (88, 91, 50), (71, 65, 52)]"
el-gabinete-blanco-en-jumex_4744114996_o.jpg,"[(213, 216, 208), (4, 4, 4), (141, 149, 123), (112, 116, 90), (116, 124, 92)]"
0581_3430302279_o.jpg,"[(177, 173, 161), (20, 16, 15), (109, 99, 80), (137, 145, 136), (125, 125, 145)]"
caballos_2561642520_o.jpg,"[(208, 192, 184), (21, 15, 19), (106, 75, 74), (127, 148, 146), (117, 122, 145)]"
img_0194_12040236075_o.jpg,"[(218, 207, 190), (50, 39, 45), (161, 142, 122), (67, 76, 98), (209, 98, 95)]"
3217353900_20d2d60000_o.jpg,"[(229, 248, 250), (41, 168, 213), (4, 15, 29), (116, 164, 212), (116, 172, 172)]"
gamma_2755205059_o.jpg,"[(200, 224, 213), (18, 15, 10), (89, 77, 50), (124, 142, 110), (106, 120, 142)]"
35-sp_4863069076_o.jpg,"[(44, 43, 15), (198, 209, 64), (115, 115, 29), (143, 161, 37), (124, 108, 124)]"
jesus-is-love_532761547_o.jpg,"[(209, 206, 224), (50, 46, 39), (161, 112, 77), (112, 74, 54), (128, 131, 163)]"
rally_4516091093_o.jpg,"[(112, 103, 86), (227, 222, 226), (24, 25, 24), (177, 181, 180), (163, 165, 178)]"
3841680838_045699c843_o.jpg,"[(189, 164, 104), (36, 25, 17), (240, 240, 221), (102, 60, 35), (144, 93, 38)]"
park-avenue-gallery_771371068_o.jpg,"[(178, 197, 206), (34, 49, 37), (101, 80, 68), (150, 139, 80), (102, 131, 148)]"
3426998593_71ef77915a_o.jpg,"[(209, 200, 187), (37, 30, 29), (133, 43, 34), (115, 112, 103), (135, 104, 65)]"
img_0190_12040234055_o.jpg,"[(223, 213, 202), (52, 49, 50), (193, 74, 59), (145, 141, 130), (160, 113, 94)]"
tlatelolco_5329138196_o.jpg,"[(32, 32, 28), (197, 159, 164), (109, 107, 98), (134, 152, 115), (123, 120, 157)]"
3036044871_8439970fe2_o.jpg,"[(43, 40, 48), (206, 183, 158), (149, 173, 149), (133, 110, 99), (115, 143, 157)]"
oficinas-de-la-coleccin-jumex_4347863888_o.jpg,"[(148, 162, 129), (52, 56, 35), (230, 243, 241), (97, 99, 61), (84, 84, 50)]"
banobras_4735218609_o.jpg,"[(32, 32, 45), (89, 83, 73), (245, 245, 245), (148, 144, 94), (137, 142, 131)]"
expo-en-el-muac_4136834495_o.jpg,"[(52, 75, 64), (130, 206, 183), (98, 151, 130), (108, 168, 166), (140, 168, 144)]"
tlatelolco_4726902219_o.jpg,"[(48, 42, 36), (204, 199, 186), (128, 112, 95), (152, 158, 123), (141, 142, 149)]"
hombre-parado-sobre-el-techo-de-una-casa_4639018826_o.jpg,"[(27, 27, 27), (230, 230, 230), (148, 148, 148), (164, 164, 164), (132, 132, 132)]"
img_0199_1_12041254766_o.jpg,"[(83, 70, 53), (177, 201, 229), (217, 194, 142), (201, 170, 114), (162, 143, 106)]"
joyeria-en-el-metro-chapultepec_4961496875_o.jpg,"[(204, 199, 186), (26, 27, 31), (115, 109, 98), (144, 151, 149), (109, 118, 159)]"
arte-povera-en-el-muac_4958381033_o.jpg,"[(50, 53, 34), (144, 205, 190), (92, 128, 101), (109, 156, 148), (124, 156, 124)]"
tree--sky-underwater_2585595033_o.jpg,"[(103, 108, 101), (11, 11, 14), (204, 211, 200), (152, 189, 189), (134, 165, 184)]"
feria-en-la-alameda_4305640608_o.jpg,"[(38, 12, 22), (180, 146, 41), (111, 69, 43), (124, 117, 146), (137, 124, 111)]"
the-deal_2488633980_o.jpg,"[(56, 56, 56), (150, 150, 150), (199, 199, 199), (180, 180, 180), (172, 172, 172)]"
la-ventana-de-la-cocina-por-la-maana_4421058451_o.jpg,"[(49, 43, 30), (245, 241, 228), (195, 171, 125), (159, 132, 91), (172, 148, 180)]"
3108194631_08c0c4f94f_o.jpg,"[(66, 39, 22), (219, 197, 113), (152, 109, 56), (177, 160, 68), (168, 148, 132)]"
capitolio-en-la-cmara-obscura_2755210281_o.jpg,"[(37, 38, 46), (138, 136, 146), (109, 117, 137), (90, 93, 108), (112, 116, 121)]"
moma-window-pano-2_2287482106_o.jpg,"[(19, 23, 25), (187, 194, 181), (117, 167, 211), (99, 108, 100), (88, 115, 157)]"
el-metro_4264220588_o.jpg,"[(48, 44, 37), (201, 194, 155), (122, 116, 82), (145, 156, 119), (148, 148, 140)]"
3412620587_bd86baf816_o.jpg,"[(177, 147, 123), (42, 37, 37), (240, 234, 218), (90, 62, 58), (112, 96, 40)]"
101-aniversario-gabriel-figueroa_2476343889_o.jpg,"[(21, 13, 9), (187, 162, 128), (111, 98, 82), (135, 135, 134), (117, 109, 142)]"
estacion-de-policia-en-tlatelolco_4719552188_o.jpg,"[(214, 206, 199), (34, 36, 33), (126, 123, 112), (151, 150, 137), (132, 138, 148)]"
3496179694_e8fde42247_o.jpg,"[(223, 222, 219), (19, 16, 17), (105, 100, 92), (107, 161, 203), (85, 126, 163)]"
objetos-en-la-casa_4788951606_o.jpg,"[(151, 205, 179), (10, 33, 13), (81, 74, 68), (222, 231, 225), (100, 110, 79)]"
3464715462_4636e84f65_o.jpg,"[(197, 198, 204), (48, 71, 88), (97, 136, 164), (150, 120, 69), (87, 77, 67)]"
la-luz-en-el-bao_4226810315_o.jpg,"[(221, 182, 167), (56, 74, 70), (140, 99, 83), (163, 172, 177), (163, 164, 172)]"
k--m-kitchen_2047803632_o.jpg,"[(171, 160, 149), (28, 19, 25), (97, 65, 63), (141, 99, 57), (221, 226, 228)]"
6_3173017734_o.jpg,"[(200, 198, 185), (34, 28, 34), (97, 77, 69), (118, 113, 108), (125, 103, 79)]"
sala-del-macg_5425160195_o.jpg,"[(197, 191, 171), (18, 16, 17), (97, 87, 79), (120, 114, 148), (131, 140, 133)]"
exposicin-en-el-centro-cultural-tlatelolco_4226781760_o.jpg,"[(80, 55, 32), (207, 190, 117), (158, 131, 72), (179, 165, 94), (127, 140, 166)]"
dscf8142_2906533438_o.jpg,"[(55, 36, 31), (211, 165, 141), (130, 84, 68), (143, 165, 146), (121, 107, 166)]"
autorretrato-con-luz-de-un-vitral_4395957356_o.jpg,"[(27, 21, 22), (197, 192, 183), (114, 96, 93), (138, 140, 138), (133, 129, 140)]"
intersections-ii-a_2499138425_o.jpg,"[(207, 207, 207), (31, 31, 31), (152, 152, 152), (114, 114, 114), (140, 140, 140)]"
objetos-en-la-casa_4788320193_o.jpg,"[(211, 233, 207), (21, 48, 17), (118, 78, 67), (156, 146, 89), (130, 244, 158)]"
pista-de-hielo-en-el-zocalo_5315914959_o.jpg,"[(65, 62, 52), (225, 229, 229), (117, 99, 86), (140, 122, 98), (144, 133, 132)]"
objetos-en-la-casa_4788952302_o.jpg,"[(142, 210, 189), (10, 38, 16), (119, 71, 56), (213, 182, 163), (164, 112, 78)]"
objetos-en-la-casa_4788953356_o.jpg,"[(180, 233, 165), (10, 17, 4), (104, 174, 66), (167, 69, 9), (101, 113, 100)]"
geh_1538991924_o.jpg,"[(184, 196, 198), (36, 38, 33), (76, 75, 75), (102, 104, 107), (94, 97, 83)]"
gonzalo-lebrija-en-el-museo-de-arte-moderno_5714240995_o.jpg,"[(46, 44, 40), (191, 189, 181), (121, 116, 109), (146, 156, 147), (144, 145, 156)]"
museo-tamayo_5227531565_o.jpg,"[(124, 86, 39), (230, 212, 115), (44, 23, 29), (205, 161, 63), (182, 153, 160)]"
3109124378_7bb64ea5b2_o.jpg,"[(63, 61, 62), (218, 216, 203), (152, 174, 126), (141, 128, 105), (128, 146, 166)]"
casa-de-los-azulejos_573016813_o.jpg,"[(49, 62, 83), (114, 145, 198), (205, 203, 204), (144, 103, 80), (162, 172, 164)]"
